"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"r30e",1,1124,2.8567615658363,1.23179119124317,3,2.82111111111111,1.4826,1,5,4,0.087830729357504,-0.856601217250066,0.0367412509112975
"r47i",2,1124,3.51779359430605,1.26766911142406,4,3.62333333333333,1.4826,1,5,4,-0.425089500856223,-0.888079778208179,0.0378113995508663
"r51i",3,1124,3.55249110320285,1.23033164700843,4,3.65,1.4826,1,5,4,-0.437633839564133,-0.820395583032886,0.0366977163566378
"a7i",4,1124,3.30427046263345,1.44718214290588,4,3.38,1.4826,1,5,4,-0.399956968288268,-1.20811802197475,0.0431658243741715
"a1i",5,1124,3.50444839857651,1.33351140922977,4,3.63,1.4826,1,5,4,-0.473256254773299,-0.929698742792598,0.0397753106434716
"a67i",6,1124,3.51957295373665,1.26764286308599,4,3.62777777777778,1.4826,1,5,4,-0.452689025760298,-0.867524832620252,0.0378106166285806
"e76m",7,1124,3.18416370106762,1.42827262859167,3,3.23,1.4826,1,5,4,-0.158694469868595,-1.28104283631998,0.042601800848944
"e98m",8,1124,3.33274021352313,1.40522975629636,3,3.41555555555556,1.4826,1,5,4,-0.256822744377199,-1.24195500456741,0.0419144895913724
"r56i",9,1124,3.80427046263345,1.22563139153125,4,3.96111111111111,1.4826,1,5,4,-0.803621534383816,-0.368410098345426,0.0365575194896184
"a22i",10,1124,2.97775800711744,1.58646432555484,3,2.97222222222222,2.9652,1,5,4,-0.0344003634750346,-1.56282356267498,0.0473202635815295
"a69i",11,1124,3.40302491103203,1.25913570383067,3,3.48777777777778,1.4826,1,5,4,-0.295593762877604,-0.933131799780579,0.037556869341732
"r50i",12,1124,3.31138790035587,1.3487945988475,3,3.38888888888889,1.4826,1,5,4,-0.288045396072673,-1.10691524812564,0.040231169971304
"r52i",13,1124,3.51512455516014,1.26770379589434,4,3.61555555555556,1.4826,1,5,4,-0.416452568160158,-0.925043351587089,0.0378124341018797
"e86a",14,1124,4.22686832740214,1.09118893897683,5,4.44333333333333,0,1,5,4,-1.35320483369019,0.938645100229737,0.0325474373283334
"a28i",15,1124,3.50711743772242,1.29350148483556,4,3.62666666666667,1.4826,1,5,4,-0.465810067156633,-0.889451076166022,0.0385819146510663
"a131",16,1124,2.72241992882562,1.37959787971004,3,2.65333333333333,1.4826,1,5,4,0.151771681164577,-1.2851041541996,0.0411499548100879
"e100a",17,1124,3.5017793594306,1.28315216044616,4,3.59666666666667,1.4826,1,5,4,-0.362734613570885,-1.01895131351176,0.0382732201849454
"a11i",18,1124,3.6085409252669,1.29790502032262,4,3.74333333333333,1.4826,1,5,4,-0.551345694553506,-0.832766366709946,0.0387132611027841
"e91f",19,1124,2.57918149466192,1.40027756025299,2,2.47444444444444,1.4826,1,5,4,0.440243121263397,-1.0707432373254,0.0417667779672882
"a26ee",20,1124,3.33007117437722,1.32129068631531,3,3.41222222222222,1.4826,1,5,4,-0.230170677743122,-1.10028774642013,0.039410797039129
"e88a",21,1124,4.06138790035587,1.16446504362441,4,4.25111111111111,1.4826,1,5,4,-1.08277804626216,0.12793729801366,0.034733080289412
"r66i",22,1124,3.22775800711744,1.3074531025909,3,3.28444444444444,1.4826,1,5,4,-0.126965879056841,-1.10746126135086,0.0389980565200872
"a2i",23,1124,4.01601423487544,1.18227927226372,4,4.20222222222222,1.4826,1,5,4,-1.02257216954517,0.0150445229410012,0.0352644341819234
"e80a",24,1124,3.67615658362989,1.32585797636877,4,3.83888888888889,1.4826,1,5,4,-0.642777811307988,-0.761229304943135,0.0395470278800636
"e93s",25,1124,2.58362989323843,1.6260180837187,2,2.48,1.4826,1,5,4,0.415530759290863,-1.45874970302383,0.0485000532760119
"e77m",26,1124,2.96886120996441,1.42984040430698,3,2.96111111111111,1.4826,1,5,4,0.0820247881624806,-1.31904086835024,0.0426485636780163
"r62i",27,1124,3.28825622775801,1.30162067010292,3,3.36,1.4826,1,5,4,-0.209884256315318,-1.05611695649667,0.0388240896440556
"e82m",28,1124,3.37455516014235,1.27560586676283,3,3.44666666666667,1.4826,1,5,4,-0.228610858101285,-1.06054329051273,0.0380481331152856
"r61i",29,1124,4.11743772241993,1.12151239185932,5,4.31222222222222,0,1,5,4,-1.13239444209616,0.317003170303823,0.0334519100983717
"e85s",30,1124,2.32384341637011,1.48069229928634,2,2.15555555555556,1.4826,1,5,4,0.670286216948017,-1.02140298584974,0.0441653485406083
"a68i",31,1124,3.49110320284698,1.33815539764091,4,3.60888888888889,1.4826,1,5,4,-0.394246536446034,-1.0720355554734,0.0399138292046173
"e102m",32,1124,2.60231316725979,1.32757385748399,3,2.50333333333333,1.4826,1,5,4,0.341851235701996,-1.02346996569941,0.0395982083228498
"a74ee",33,1124,3.72508896797153,1.13003695441635,4,3.83,1.4826,1,5,4,-0.589982112153557,-0.50448477085327,0.0337061764821902
"r54i",34,1124,3.93683274021352,1.16894938961107,4,4.1,1.4826,1,5,4,-0.869974017742039,-0.213698202342163,0.0348668371162511
"a72ee",35,1124,3.83362989323843,1.0742218662917,4,3.95111111111111,1.4826,1,5,4,-0.721326443448442,-0.243252132369795,0.0320413519794641
